Open,High,Low,Close,Volume,MA 20,MA 20 close,STD 10 high,PP 10 vol,SMA_20,SMA_50,RSI,MACD,MACD_Signal,Close_Predictions,Command
5360.33,5365.42,4442.12,5028.97,227276.92276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5312.64,buy
5028.86,5525.0,4921.45,5312.64,150089.926318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.62894586894527,4.525789173789053,5393.04,buy
5312.64,5436.17,5009.37,5393.04,137127.634894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.51397245152202,12.92342582933565,6162.37,buy
5393.26,6400.0,5252.53,6162.37,199020.873439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0682927375692,35.55239921098237,6208.36,buy
6162.05,6900.0,5670.0,6208.36,219298.329514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.629218400567,66.5677630488993,6186.98,buy
6204.57,6456.98,5860.02,6186.98,128913.668363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.3332004054746,100.7208505202144,5816.19,buy
6187.04,6407.87,5734.01,5816.19,119115.990527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.6412979830448,128.9049400127804,6467.31,buy
5816.05,6600.0,5688.0,6467.31,164674.215785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.2040377035573,161.9647595509358,6744.72,buy
6465.25,6833.0,6371.33,6744.72,151138.009878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.1624914708691,200.4043059349225,6677.43,buy
6744.69,6957.96,6450.0,6677.43,132155.734989,0.0,0.0,585.846659818079,108160.93223299998,0.0,0.0,0.0,391.7345849755056,238.6703617430391,6737.36,buy
6677.42,6780.0,6510.0,6737.36,83026.555211,0.0,0.0,512.0830573022309,136271.774303,0.0,0.0,0.0,421.487939317024,275.2338772578361,6359.11,buy
6737.27,6842.59,6261.0,6359.11,82914.968354,0.0,0.0,424.3450915717066,136383.36116000003,0.0,0.0,0.0,409.8219013872513,302.1514820837192,6236.65,buy
6359.11,6360.0,6024.0,6236.65,93159.693429,0.0,0.0,221.28160135899242,136383.36116000003,0.0,0.0,0.0,386.2426192327312,318.9697095135216,5881.42,buy
6236.65,6266.0,5866.56,5881.42,63311.627714,0.0,0.0,239.550619076637,155986.7018,0.0,0.0,62.23641713916602,335.0297614850842,322.1817199078341,6394.38,buy
5880.5,6599.0,5857.76,6394.38,118889.549992,0.0,0.0,223.4123476892001,101362.588071,0.0,0.0,67.08381191178643,332.0076106972119,324.1468980657097,6410.44,buy
6394.45,6523.23,6321.4,6410.44,72337.595259,0.0,0.0,219.71816657937055,101362.588071,0.0,0.0,64.72134313147026,327.137405826973,324.7449996179624,6642.92,buy
6412.14,6679.94,6150.11,6642.92,97500.7524,0.0,0.0,208.71120007321124,101362.588071,0.0,0.0,66.10387870167085,338.1390697511233,327.4238136445946,6794.09,buy
6643.36,7198.0,6551.0,6794.09,149299.906871,0.0,0.0,265.44632948300494,87826.38216400001,0.0,0.0,59.68147321702243,354.9643156204575,332.9319140397672,6734.1,buy
6793.86,7048.0,6602.1,6734.1,104080.276939,0.0,0.0,283.1434403902023,85988.27915700001,0.0,0.0,58.02284130724063,359.315783858593,338.2086880035324,6856.99,buy
6732.97,6990.41,6650.01,6856.99,72990.861139,6211.8785,6252.2735,285.9612302061243,85988.27915700001,6252.2735,0.0,59.91717065863833,368.4334779613073,344.2536459950874,6772.78,buy
6857.41,6895.54,6677.52,6772.78,49685.356983,6299.4586249999975,6339.464,290.1039934040896,99614.54988800001,6339.464,0.0,65.47154248006599,364.6606915407983,348.3350551042296,7329.9,buy
6772.78,7355.14,6765.0,7329.9,118052.000832,6392.394499999999,6440.327,343.9370914920344,99614.54988800001,6440.326999999999,0.0,64.38873042085773,401.9917484302478,359.0663937694333,7197.32,buy
7329.9,7459.69,7077.0,7197.32,103585.168918,6491.3031249999985,6530.541,363.623962583601,99614.54988800001,6530.541,0.0,57.93305803086285,416.082442592292,370.469603534005,7361.28,buy
7197.32,7420.0,7150.0,7361.28,76059.145838,6565.308625,6590.486500000001,324.6607154630816,99614.54988800001,6590.486499999999,0.0,61.5934682584622,435.4599101825852,383.467664863721,7283.54,buy
7360.26,7371.92,7108.08,7283.54,61094.872417,6617.601000000001,6644.2455,307.52427361266956,99614.54988800001,6644.2455,0.0,59.20393650365678,439.4776992042389,394.6696717318246,6858.92,buy
7283.54,7295.75,6739.98,6858.92,104674.623375,6660.9715,6677.842500000001,245.08545870573397,99614.54988800001,6677.842500000001,0.0,58.29293140465976,403.7444262245745,396.4846226303746,6876.83,buy
6858.92,6944.3,6760.0,6876.83,45470.293206,6702.158249999999,6730.8745,200.92313407121637,103829.61366500001,6730.8745,0.0,61.00374021973792,372.5759140470645,391.7028809137126,6903.79,buy
6876.84,7177.0,6780.0,6903.79,73868.666501,6741.7366250000005,6752.6985,201.02057308892537,72581.707626,6752.6985,0.0,69.8083816092845,346.0609154573103,382.5744878224322,6837.91,buy
6903.79,6903.79,6575.0,6837.91,96415.476573,6751.814,6757.357999999998,215.73846324658936,72581.707626,6757.358,0.0,60.39408128160782,316.0879574116925,369.2771817402843,6868.7,buy
6838.04,6978.0,6754.28,6868.7,69068.623285,6759.425749999999,6766.9214999999995,216.86601453662578,72581.707626,6766.921499999999,0.0,60.66564260112649,291.4589109951921,353.7135275912659,6621.24,buy
