Ay,Dolar,Euro,Altın,Petrol,Beton,Demir,Fiyat,Son Güncelleme Tarihi,Konut Tipi,Mahalle, Net M2,Oda , Salon Sayısı,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Eşya Durumu,Banyo Sayısı,Cephe,Kira Getirisi,Kullanım Durumu,Aidat,Yakıt Tipi
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,3.100.000 TL,2024-02-10,Daire,Meşrutiyet,116.0,3.0,1.0,1. Kat,18 Yaşında,Kombi,Eşyalı Değil,1,"Kuzey, Güney, Batı",15.000 TL,Boş,100 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,4.100.000 TL,2024-01-15,Daire,Adnan Menderes,150.0,3.0,1.0,2. Kat,12 Yaşında,Klima,Eşyalı Değil,2,"Kuzey, Güney, Doğu",15.000 TL,Boş,,Elektrik
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,9.200.000 TL,2024-01-10,Residence,Kemer,260.0,4.0,1.0,Kot 1,3 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,2,"Kuzey, Doğu, Batı",,Boş,2.000 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,3.650.000 TL,2024-01-22,Daire,Adnan Menderes,135.0,3.0,1.0,5. Kat,16 Yaşında,Kombi,Eşyalı Değil,2,Batı,,Boş,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,2.100.000 TL,2024-01-22,Daire,Kurtuluş,135.0,3.0,1.0,1. Kat,35 Yaşında,Soba,Eşyalı Değil,1,"Kuzey, Güney",,Mülk Sahibi,,Kömür-Odun
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.400.000 TL,2024-02-20,Daire,Orta,45.0,1.0,1.0,1. Kat,4 Yaşında,Kombi,Eşyalı Değil,1,Kuzey,6.000 TL,Kiracılı,150 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,2.050.000 TL,2024-02-24,Daire,Orta,90.0,2.0,1.0,Giriş Katı,20 Yaşında,Kombi,Eşyalı Değil,1,"Doğu, Batı",,Boş,,Elektrik
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,5.600.000 TL,2024-02-13,Bina,Çeştepe,400.0,4.0,2.0,Giriş Katı,8 Yaşında,Soba,Eşyalı Değil,2,"Kuzey, Güney, Doğu, Batı",30.000 TL,Boş,1 TL,Kömür-Odun
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.150.000 TL,2024-02-13,Daire,Orta,55.0,1.0,1.0,2. Kat,6 Yaşında,Klima,Eşyalı,1,Doğu,,Kiracılı,50 TL,Elektrik
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,2.350.000 TL,2024-02-23,Daire,Kurtuluş,150.0,3.0,1.0,1. Kat,20 Yaşında,Kombi,Eşyalı Değil,1,,,Belirtilmemiş,50 TL,Doğalgaz
